,name,main_speaker,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jawdrop,Ok,Obnoxious,Inspiring,Total
692,Ken Robinson: Bring on the learning revolution!,Ken Robinson,3000,7631,2876,865,885,2199,1237,1248,1116,208,83,71,38,34,21491
2109,Robert Waldinger: What makes a good life? Lessons from the longest study on happiness,Robert Waldinger,8590,1661,3825,2868,2564,217,368,251,259,130,31,25,140,119,21048
108,Blaise Agüera y Arcas: How PhotoSynth can connect the world's images,Blaise Agüera y Arcas,632,1736,76,70,60,41,40,647,857,1623,14728,95,119,21,20745
29,Dan Gilbert: The surprising science of happiness,Dan Gilbert,1728,1166,241,444,174,169,248,3899,3554,4303,2355,1047,439,67,19834
1572,Kelly McGonigal: How to make stress your friend,Kelly McGonigal,5248,1994,3904,510,4678,71,888,645,697,438,56,230,347,68,19774
168,"Arthur Benjamin: A performance of ""Mathemagic""",Arthur Benjamin,3710,1944,340,817,429,2152,168,84,114,182,7196,314,128,151,17729
1776,Julian Treasure: How to speak so that people want to listen,Julian Treasure,2678,4133,5167,1801,697,735,650,810,270,48,152,153,43,49,17386
2011,Johann Hari: Everything you think you know about addiction is wrong,Johann Hari,2247,131,167,3734,4219,1849,1112,1897,106,15,488,21,497,94,16577
1747,Simon Sinek: Why good leaders make you feel safe,Simon Sinek,8569,1825,645,789,1149,1734,1293,154,45,81,24,190,50,20,16568
614,Jamie Oliver: Teach every child about food,Jamie Oliver,1413,3316,1547,4779,359,2606,99,844,297,470,249,113,109,69,16270
892,Sarah Kay: If I should have a daughter ...,Sarah Kay,1567,4986,4430,1220,498,116,76,77,1266,348,612,107,118,174,15595
5,Tony Robbins: Why we do what we do,Tony Robbins,1102,721,377,301,706,397,285,1038,5211,1350,2423,441,669,335,15356
1779,Simon Anholt: Which country does the most good for the world?,Simon Anholt,235,262,1311,6390,1074,86,63,869,49,3701,377,328,398,114,15257
47,Richard St. John: 8 secrets of success,Richard St. John,2966,576,213,1912,4978,43,777,638,457,27,1433,251,685,57,15013
30,Barry Schwartz: The paradox of choice,Barry Schwartz,1526,178,1201,400,277,2532,2427,2491,324,54,2478,521,421,115,14945
96,Richard Dawkins: Militant atheism,Richard Dawkins,3236,539,399,86,1203,663,192,1113,2935,934,2475,551,406,172,14904
1177,Brené Brown: Listening to shame,Brené Brown,577,480,4958,902,951,3269,960,1267,986,103,73,55,23,39,14643
2140,Celeste Headlee: 10 ways to have a better conversation,Celeste Headlee,1494,531,1843,1754,3599,30,1704,2853,199,38,200,115,35,26,14421
1646,"Andrew Solomon: Depression, the secret we share",Andrew Solomon,3178,4031,1253,2227,34,1710,171,442,282,145,30,30,142,112,13787
401,Pattie Maes + Pranav Mistry: Meet the SixthSense interaction,Pattie Maes + Pranav Mistry,444,2366,1079,2467,3371,186,1819,158,332,91,313,237,87,76,13026
973,Matt Cutts: Try something new for 30 days,Matt Cutts,6171,1977,1427,386,680,542,560,322,528,111,128,36,30,25,12923
1170,Larry Smith: Why you will fail to have a great career,Larry Smith,537,412,1082,4131,1960,1640,363,295,273,159,471,752,425,349,12849
117,Hans Rosling: New insights on poverty,Hans Rosling,218,730,1021,284,36,27,1544,1569,1265,29,5137,828,21,74,12783
1493,Rita Pierson: Every kid needs a champion,Rita Pierson,5946,981,1137,1640,1297,458,230,665,114,159,12,26,23,15,12703
2114,James Veitch: This is what happens when you reply to spam email,James Veitch,7731,1766,939,401,221,240,143,229,45,63,60,417,91,20,12366
154,VS Ramachandran: 3 clues to understanding your brain,VS Ramachandran,3847,2402,673,1458,215,969,25,77,31,52,1775,423,15,107,12069
1501,Angela Lee Duckworth: Grit: The power of passion and perseverance,Angela Lee Duckworth,4847,374,2420,1380,597,866,464,464,47,87,181,65,148,129,12069
451,Dan Ariely: Are we in control of our own decisions?,Dan Ariely,1194,2031,2309,97,2851,1448,1069,555,27,149,139,44,14,28,11955
919,Ric Elias: 3 things I learned while my plane crashed,Ric Elias,1942,327,5834,695,313,932,211,357,821,66,25,76,28,31,11658
492,"Alain de Botton: A kinder, gentler philosophy of success",Alain de Botton,633,3458,1759,1173,662,1393,985,613,207,246,70,65,35,53,11352
262,Keith Barry: Brain magic,Keith Barry,273,3715,803,206,2555,267,1819,336,252,505,161,137,208,79,11316
